,X0,X1,Month,Date,Season
83,-0.2590979426376479,0.681745201534422,3,2017-03-25,Spring
84,-0.45282191945908945,0.30382298565867805,3,2017-03-26,Spring
85,-0.12407647750768985,0.008165599330015295,3,2017-03-27,Spring
86,-0.045089190626655694,-0.09030326448044991,3,2017-03-28,Spring
87,-0.09304149493439577,-0.16823633004024555,3,2017-03-29,Spring
88,-0.11386482821438113,0.008602712409847592,3,2017-03-30,Spring
89,-0.1981888144341639,0.3603668925153586,3,2017-03-31,Spring
90,-0.27992531021335093,0.14448941484551928,4,2017-04-01,Spring
91,-0.4415383994054507,0.12998755866485387,4,2017-04-02,Spring
92,-0.3110892566209659,-0.23307265639897443,4,2017-04-03,Spring
93,-0.12098077299519241,-0.24595816245397897,4,2017-04-04,Spring
94,-0.09821536340963538,-0.13748284550077947,4,2017-04-05,Spring
